date,ticker,state,first hammer date,progress,num inverted hammer,max ror
2020-05-31 09:00:00,KRW-POLYX,rise,2020-05-24 09:00:00,7,1,36.02620087336245
2020-06-17 09:00:00,KRW-STRAX,rise,2020-06-10 09:00:00,7,2,75.17006802721087
2020-07-29 09:00:00,KRW-MANA,rise,2020-07-21 09:00:00,8,1,28.11244979919679
2020-08-11 09:00:00,KRW-STMX,rise,2020-07-29 09:00:00,13,1,26.136363636363647
2020-09-21 09:00:00,KRW-AHT,rise,2020-09-15 09:00:00,6,1,20.797227036395153
2020-10-08 09:00:00,KRW-MOC,rise,2020-09-18 09:00:00,20,2,21.468926553672322
2020-10-09 09:00:00,KRW-TT,rise,2020-09-10 09:00:00,29,1,21.641791044776106
2020-10-10 09:00:00,KRW-CVC,rise,2020-09-14 09:00:00,26,1,60.06493506493506
2020-10-10 09:00:00,KRW-ONG,rise,2020-10-01 09:00:00,9,1,20.54794520547945
2020-10-31 09:00:00,KRW-MVL,rise,2020-10-21 09:00:00,10,1,22.222222222222225
2020-11-11 09:00:00,KRW-HUNT,rise,2020-10-12 09:00:00,30,2,55.08982035928144
2020-11-22 09:00:00,KRW-MVL,rise,2020-11-12 09:00:00,10,1,42.42424242424241
2020-11-24 09:00:00,KRW-PLA,rise,2020-10-25 09:00:00,30,1,28.651685393258425
2020-12-01 09:00:00,KRW-SRM,rise,2020-11-23 09:00:00,8,2,73.16017316017316
2020-12-18 09:00:00,KRW-AQT,rise,2020-12-08 09:00:00,10,2,30.434782608695656
2020-12-19 09:00:00,KRW-UPP,rise,2020-12-07 09:00:00,12,1,20.704845814977972
2020-12-21 09:00:00,KRW-CHZ,rise,2020-12-14 09:00:00,7,3,82.85714285714286
2020-12-28 09:00:00,KRW-SRM,rise,2020-12-22 09:00:00,6,1,28.57142857142857
2020-12-29 09:00:00,KRW-REP,rise,2020-12-18 09:00:00,11,1,23.473917869034405
2021-01-08 09:00:00,KRW-CRO,rise,2021-01-02 09:00:00,6,1,33.78684807256235
2021-01-09 09:00:00,KRW-CRE,rise,2021-01-01 09:00:00,8,1,26.106194690265504
2021-01-14 09:00:00,KRW-PLA,rise,2020-12-16 09:00:00,29,1,34.01360544217687
2021-01-17 09:00:00,KRW-ENJ,rise,2021-01-08 09:00:00,9,2,104.12844036697248
2021-02-09 09:00:00,KRW-TRX,rise,2021-01-29 09:00:00,11,1,27.336448598130847
2021-02-12 09:00:00,KRW-CRE,rise,2021-02-03 09:00:00,9,1,25.54585152838428
2021-02-22 09:00:00,KRW-ENJ,rise,2021-02-11 09:00:00,11,1,23.809523809523807
2021-02-25 09:00:00,KRW-CHZ,rise,2021-02-19 09:00:00,6,1,31.206896551724128
2021-03-11 09:00:00,KRW-DKA,rise,2021-03-03 09:00:00,8,1,30.201342281879196
2021-04-08 09:00:00,KRW-CBK,rise,2021-04-02 09:00:00,6,1,23.333333333333332
2021-04-24 09:00:00,KRW-TT,rise,2021-04-13 09:00:00,11,1,23.699421965317903
2021-06-11 09:00:00,KRW-AXS,rise,2021-05-29 09:00:00,13,2,35.31960996749729
2021-07-04 09:00:00,KRW-DKA,rise,2021-06-28 09:00:00,6,1,21.052631578947366
2021-08-13 09:00:00,KRW-QTUM,rise,2021-08-07 09:00:00,6,1,36.88118811881188
2021-08-15 09:00:00,KRW-LOOM,rise,2021-07-29 09:00:00,17,1,20.72072072072072
2021-08-23 09:00:00,KRW-WAXP,rise,2021-07-27 09:00:00,27,2,197.23502304147465
2021-10-06 09:00:00,KRW-TT,rise,2021-09-30 09:00:00,6,2,25.543478260869584
2021-12-21 09:00:00,KRW-PUNDIX,rise,2021-12-10 09:00:00,11,2,22.400000000000002
2022-05-13 09:00:00,KRW-CVC,rise,2022-05-04 09:00:00,9,2,22.727272727272727
2022-05-14 09:00:00,KRW-NU,rise,2022-04-28 09:00:00,16,1,26.190476190476193
2022-05-30 09:00:00,KRW-DKA,rise,2022-05-22 09:00:00,8,1,22.269503546099294
2022-10-07 09:00:00,KRW-GMT,rise,2022-09-27 09:00:00,10,2,81.05381165919282
2023-01-14 09:00:00,KRW-KNC,rise,2022-11-30 09:00:00,45,2,32.005312084993356
2023-01-24 09:00:00,KRW-ICX,rise,2022-11-30 09:00:00,55,2,48.4251968503937
2023-02-04 09:00:00,KRW-SHIB,rise,2023-01-18 09:00:00,17,2,61.87499999999999
